date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:30:00	6133/6133	---M-Z	200	added ('OK')	text/html	etag:%2217f5-5b370c75e1134-gzip%22	http://www.dr-erdogan.de/index.html	./dr-erdogan-copy/www.dr-erdogan.de/index.html	(from )
10:30:00	200/200	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Sep%202026%2008:30:00%20GMT	http://www.dr-erdogan.de/robots.txt		(from )
10:30:00	15299/15299	---M-Z	200	added ('OK')	text/css	etag:%223bc3-5b370c9c1b251-gzip%22	http://www.dr-erdogan.de/styles/styles.css	./dr-erdogan-copy/www.dr-erdogan.de/styles/styles.css	(from http://www.dr-erdogan.de/index.html)
10:30:01	10998/10998	---M-Z	200	added ('OK')	text/css	etag:%222af6-5b370c9c0e731-gzip%22	http://www.dr-erdogan.de/styles/sequence-theme.modern-slide-in.css	./dr-erdogan-copy/www.dr-erdogan.de/styles/sequence-theme.modern-slide-in.css	(from http://www.dr-erdogan.de/index.html)
10:30:01	7800/7800	---M-Z	200	added ('OK')	application/javascript	etag:%221e78-5b370c7804ec6-gzip%22	http://www.dr-erdogan.de/scripts/lightbox.min.js	./dr-erdogan-copy/www.dr-erdogan.de/scripts/lightbox.min.js	(from http://www.dr-erdogan.de/index.html)
10:30:01	3874/3874	---M-Z	200	added ('OK')	text/css	etag:%22f22-5b370c9bc7293-gzip%22	http://www.dr-erdogan.de/styles/lightbox.css	./dr-erdogan-copy/www.dr-erdogan.de/styles/lightbox.css	(from http://www.dr-erdogan.de/index.html)
10:30:01	5815/5815	---M-Z	200	added ('OK')	text/html	etag:%2216b7-5b370c7c7a848-gzip%22	http://www.dr-erdogan.de/Kontakt.html	./dr-erdogan-copy/www.dr-erdogan.de/Kontakt.html	(from http://www.dr-erdogan.de/index.html)
10:30:01	5325/5325	---M-Z	200	added ('OK')	text/html	etag:%2214cd-5b370c7a5a936-gzip%22	http://www.dr-erdogan.de/Team.html	./dr-erdogan-copy/www.dr-erdogan.de/Team.html	(from http://www.dr-erdogan.de/index.html)
10:30:02	8414/8414	---M-Z	200	added ('OK')	text/html	etag:%2220de-5b370c7b6ef0f-gzip%22	http://www.dr-erdogan.de/Ueberuns.html	./dr-erdogan-copy/www.dr-erdogan.de/Ueberuns.html	(from http://www.dr-erdogan.de/index.html)
10:30:02	6335/6335	---M-Z	200	added ('OK')	text/html	etag:%2218bf-5b370c739b0c4-gzip%22	http://www.dr-erdogan.de/Mikrochirurgie.html	./dr-erdogan-copy/www.dr-erdogan.de/Mikrochirurgie.html	(from http://www.dr-erdogan.de/index.html)
